"file","method","repoOps"
"C:\Project\HANES\apps\backend\src\modules\quality\rework\services\rework-process.service.ts","createResult","1"
"C:\Project\HANES\apps\backend\src\modules\quality\spc\services\msa.service.ts","createCalibration","1"
"C:\Project\HANES\apps\backend\src\modules\role\role.service.ts","create","1"
"C:\Project\HANES\apps\backend\src\modules\scheduler\services\scheduler-log.service.ts","updateLog","1"
"C:\Project\HANES\apps\backend\src\modules\scheduler\services\scheduler-noti.service.ts","markAsRead","1"
"C:\Project\HANES\apps\backend\src\modules\shipping\services\box.service.ts","create","1"
"C:\Project\HANES\apps\backend\src\modules\shipping\services\customer-order.service.ts","create","1"
"C:\Project\HANES\apps\backend\src\modules\shipping\services\pallet.service.ts","create","1"
"C:\Project\HANES\apps\backend\src\modules\shipping\services\shipment.service.ts","create","1"
"C:\Project\HANES\apps\backend\src\modules\shipping\services\ship-order.service.ts","create","1"
"C:\Project\HANES\apps\backend\src\modules\shipping\services\ship-return.service.ts","create","1"
